Date,Price,Price_gte_2,Price_gte_12,Price_gte_22,Price_lte_2,Price_lte_12,Price_lte_22
2021-01-26,3.628,True,False,False,False,True,True
2021-01-27,3.5715,True,False,False,False,True,True
2021-01-28,3.583,True,False,False,False,True,True
2021-01-29,3.5735,True,False,False,False,True,True
2021-02-01,3.562,True,False,False,False,True,True
2021-02-02,3.539,True,False,False,False,True,True
2021-02-03,3.5785,True,False,False,False,True,True
2021-02-04,3.566,True,False,False,False,True,True
2021-02-05,3.639,True,False,False,False,True,True
2021-02-08,3.679,True,False,False,False,True,True
2021-02-09,3.7335,True,False,False,False,True,True
2021-02-10,3.7855,True,False,False,False,True,True
2021-02-11,3.7875,True,False,False,False,True,True
2021-02-12,3.802,True,False,False,False,True,True
2021-02-16,3.848,True,False,False,False,True,True
2021-02-17,3.836,True,False,False,False,True,True
2021-02-18,3.9165,True,False,False,False,True,True
2021-02-19,4.09,True,False,False,False,True,True
2021-02-22,4.1525,True,False,False,False,True,True
2021-02-23,4.1875,True,False,False,False,True,True
2021-02-24,4.301,True,False,False,False,True,True
2021-02-25,4.266,True,False,False,False,True,True
2021-02-26,4.0945,True,False,False,False,True,True
2021-03-01,4.1195,True,False,False,False,True,True
2021-03-02,4.2315,True,False,False,False,True,True
2021-03-03,4.153,True,False,False,False,True,True
2021-03-04,3.991,True,False,False,False,True,True
2021-03-05,4.087,True,False,False,False,True,True
2021-03-08,4.1035,True,False,False,False,True,True
2021-03-09,4.0195,True,False,False,False,True,True
2021-03-10,4.042,True,False,False,False,True,True
2021-03-11,4.143,True,False,False,False,True,True
2021-03-12,4.1455,True,False,False,False,True,True
2021-03-14,4.1465,True,False,False,False,True,True
2021-03-15,4.079,True,False,False,False,True,True
2021-03-16,4.128,True,False,False,False,True,True
2021-03-17,4.117,True,False,False,False,True,True
2021-03-18,4.1235,True,False,False,False,True,True
2021-03-21,4.149,True,False,False,False,True,True
2021-03-22,4.088,True,False,False,False,True,True
2021-03-23,4.0715,True,False,False,False,True,True
2021-03-24,3.985,True,False,False,False,True,True
2021-03-25,4.0785,True,False,False,False,True,True
2021-03-28,4.043,True,False,False,False,True,True
2021-03-29,3.983,True,False,False,False,True,True
2021-03-30,4.003,True,False,False,False,True,True
2021-03-31,4.0035,True,False,False,False,True,True
2021-04-04,4.149,True,False,False,False,True,True
2021-04-05,4.1265,True,False,False,False,True,True
2021-04-06,4.064,True,False,False,False,True,True
2021-04-07,4.1035,True,False,False,False,True,True
2021-04-08,4.0505,True,False,False,False,True,True
2021-04-11,4.03,True,False,False,False,True,True
2021-04-12,4.043,True,False,False,False,True,True
2021-04-13,4.14,True,False,False,False,True,True
2021-04-14,4.2305,True,False,False,False,True,True
2021-04-15,4.18,True,False,False,False,True,True
2021-04-18,4.25,True,False,False,False,True,True
2021-04-19,4.224,True,False,False,False,True,True
